icao24_callsign,min_vertrate_spd_climb,max_vertrate_spd_climb,min_spd_climb,max_spd_climb,delta_h_climb,vertrate_std_spd_climb,vertrate_avg_spd_climb,std_spd_climb,avg_spd_climb,duration_climb,min_vertrate_spd_cruise,max_vertrate_spd_cruise,min_spd_cruise,max_spd_cruise,delta_h_cruise,vertrate_std_spd_cruise,vertrate_avg_spd_cruise,std_spd_cruise,avg_spd_cruise,duration_cruise,mean_altitude_cruise,std_altitude_cruise,min_vertrate_spd_descent,max_vertrate_spd_descent,min_spd_descent,max_spd_descent,delta_h_descent,vertrate_std_spd_descent,vertrate_avg_spd_descent,std_spd_descent,avg_spd_descent,duration_descent,operatoricao
020108_MAC266,0.0,23.73376,72.04053065710275,231.70834169203889,10546.08,5.646864881309214,9.521831287128713,43.345834037726725,176.1655757078016,1190,-5.201919999999999,0.650239999999999,188.6221395946643,233.5564428606873,3017.5200000000004,0.268848561170345,-0.017839231824417,11.513388282523751,215.02094984969193,8210.0,11252.983950617285,275.66076084978664,-18.20672,0.325119999999999,59.08048345836977,226.12432689169225,-11033.76,4.9795580530480645,-8.045506865671642,56.97734900951375,158.54863114250625,1420,MAC
06a08d_QTR3485,-0.325119999999999,14.630400000000002,90.086474414617,239.974203076302,10744.2,3.234500963148989,6.14137717791411,35.15250755410187,209.30768828516096,1850,-0.325119999999999,0.650239999999999,224.82674273582577,244.90344227028214,4267.199999999998,0.165589286294196,-0.027669787234042002,3.39825255414445,239.10768507787532,8930.0,11324.191436170215,626.7365563280409,-12.35456,0.325119999999999,67.25260910874938,241.0525612707999,-10888.98,2.628687651572748,-5.726422983425415,55.054770524064516,164.9373697140276,2090,QTR
06a091_QTR3281,0.325119999999999,16.581120000000002,67.63520307218542,245.41620980186417,11094.72,3.098535307800641,6.4749802409638555,40.87453112234273,209.15110959360618,2030,-1.6256,2.27584,222.2499299315349,240.18585460366816,7.619999999998981,0.28511935044526604,-0.025667368421052,3.702288863679162,233.6888566351395,7910.0,11223.491315789475,183.21305761140044,-18.85696,0.325119999999999,63.28497639025464,236.0535697705907,-11186.160000000002,4.973231509125861,-6.981524210526315,58.62895104744931,152.98090449849897,2030,QTR
33ffc1_IAM3174,0.325119999999999,17.55648,74.02454110807362,257.4014783399048,10896.6,3.6096156227378993,9.387839999999999,54.46379827607329,204.2578345862562,1190,-5.85216,0.9753600000000001,247.34486779543246,260.2954467237323,0.0,0.306503928867818,0.020000228898426002,3.01338110405979,253.1539982071828,8690.0,11254.750901287554,276.3591886607164,-53.969919999999995,1.6256,69.37368420977914,260.65004722854803,-11186.16,8.331097983654361,-9.346615251798562,61.17791141377427,179.92110225392415,1730,IAM
34134e_IBE34BP,2.27584,17.881600000000006,71.09385283721322,246.22743053043573,10751.82,3.276367720380366,8.927852743362832,50.655720894297204,199.15892587432515,1190,-4.8768,0.325119999999999,238.7136572290662,252.38656195232483,-68.57999999999993,0.41023701713151506,-0.027093333333333,2.420515532206914,247.49374101954413,2390.0,11281.443421052634,7.062435008185126,-17.231360000000002,0.325119999999999,53.19709168132454,254.6960237970776,-10637.52,4.243448377807703,-7.746113015873014,58.32033477458867,179.96782740393243,1430,IBE
342090_IBE32HY,1.300479999999999,21.1328,64.9850906217969,232.90227032028636,11590.02,4.240908015940151,10.266289230769233,50.784443226752344,189.94504885895947,1130,-0.325119999999999,2.9260800000000002,220.8714854537052,245.7583578497667,15.239999999999782,0.23050061316486603,0.004605099150141,5.485577344823166,238.29652851190363,3770.0,11882.364645892354,5.4770949657149,-23.73376,0.0,64.83831439685459,256.2989746862391,-11346.18,4.733385597793223,-7.494132949640289,56.20620341840169,169.55425636009105,1490,IBE
342090_IBE32WR,0.0,17.881600000000006,76.07163984487106,222.9513881027716,10507.98,3.894690683571894,8.248912396694216,38.46957226869384,191.20279591344016,1310,-1.300479999999999,0.650239999999999,197.42655662616082,218.44675839722112,-617.2200000000012,0.23498309197792902,-0.0009676190476190001,4.049911362471855,205.17168016594596,4130.0,11223.761071428573,289.12706612183814,-9.42848,-0.325119999999999,68.1322766025431,219.2485248308144,-10698.480000000001,1.790519114415646,-5.8152145454545465,43.44710305520449,170.19892865427053,1900,IBE
342091_IBE32FL,1.95072,19.182080000000006,78.57532173089555,244.8218403019508,10043.16,3.682779637648993,9.261185242718447,48.87307080156792,201.11773918344838,1070,-2.9260800000000002,1.300479999999999,236.667724321677,249.2511706675808,-22.860000000000582,0.341804728407748,-0.021740547112462,3.39748489435248,243.0192545995945,3470.0,10974.07386018237,7.037949569223339,-12.67968,0.650239999999999,64.88523733712846,248.61274760471784,-10728.960000000001,3.258338257665057,-6.860031999999999,56.68181274050046,197.1485397028256,1550,IBE
342091_IBE32HY,-0.325119999999999,20.807679999999998,76.07163984487106,223.31195726039246,10256.52,4.907890477917259,9.133745046728974,44.6866819606517,182.26610697373502,1130,-0.650239999999999,0.650239999999999,212.3756679106691,223.85645104457558,7.619999999998981,0.17513997223859,0.002373138686131,2.269553430839054,218.58813368771823,4300.0,10660.639562043794,414.88143644320076,-13.32992,0.0,74.08708071101628,225.4679584055981,-10050.78,3.125801177016246,-7.301549923664123,43.217219682070585,164.54710172174524,1370,IBE
3420cc_IBE3060,-0.325119999999999,17.881600000000006,83.34786657252161,256.4429810089299,10302.24,3.337750953441554,7.917180000000001,51.511081129333135,205.35354844473994,1310,-0.650239999999999,0.650239999999999,240.0668235800213,251.9625712874292,-7.6200000000008,0.23693062190065403,0.019868444444444,2.790097664140064,246.66480714488924,3830.0,10951.485166666667,349.7148541072555,-21.45792,0.325119999999999,71.08454577539092,254.8887025025844,-10942.32,4.482628808216184,-6.930869403973509,55.615609287688876,178.82235725393838,1610,IBE
